id,marital,sex,head,earnmost,workstatus,occ,owner,ind,size,employed,regular,union,paymethod,monthlypaid,dailypaid,hourlypaid,yearlypaid,workdaypermonth,workhourperweek,overworkperweek,paidoverworkperweek,year,age
1350,1,1,1,1,1,1,1,1,1,1,8,1,9,88888,888888,888888,88888,99,999,999,999,2014,71
1351,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,78
1352,1,2,0,0,1,3,1,6,1,1,8,5,1,50,888888,888888,88888,20,25,0,0,2014,42
1353,1,1,0,0,1,10,2,5,5,5,2,1,1,420,888888,888888,88888,20,999,999,999,2014,46
1354,1,1,0,0,9,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,68
1357,1,1,1,1,1,6,3,14,3,5,1,1,1,200,888888,888888,88888,22,50,5,0,2014,40
1360,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,70
1363,1,2,1,1,1,3,2,6,5,5,5,1,1,92,888888,888888,88888,20,28,999,999,2014,55
1367,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,39
1368,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,52
1373,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,73
1374,1,2,0,0,3,8,2,6,3,5,5,1,4,88888,888888,720,88888,21,30,2,0,2014,53
1378,1,2,0,0,1,6,2,16,4,5,2,1,1,191,888888,888888,88888,23,8,1,1,2014,39
1380,1,1,1,1,1,6,4,17,6,5,2,3,1,420,888888,888888,88888,20,42,2,2,2014,52
1381,1,1,1,1,1,6,3,14,4,5,1,1,1,400,888888,888888,88888,22,60,4,1,2014,57
1382,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,70
1385,1,1,1,1,1,7,2,6,4,5,1,3,1,311,888888,888888,88888,20,46,7,7,2014,51
1387,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,66
1389,1,1,1,1,1,5,4,17,6,5,1,2,1,421,888888,888888,88888,20,38,999,999,2014,54
1395,1,1,1,1,1,10,3,15,3,5,1,2,1,350,888888,888888,88888,20,70,30,0,2014,53
1396,1,2,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,74
1397,1,2,1,1,3,3,1,6,1,5,5,5,4,88888,888888,700,88888,4,5,999,999,2014,75
1398,1,1,1,1,1,3,1,6,1,1,8,5,1,770,888888,888888,88888,25,55,999,999,2014,54
1399,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,76
1402,1,1,1,1,1,4,2,14,3,5,1,1,1,200,888888,888888,88888,20,40,0,0,2014,52
1404,1,1,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,81
1407,1,2,0,0,9,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,74
1408,1,1,0,1,1,8,1,4,2,5,1,1,3,88888,9000,888888,88888,25,8,1,999,2014,43
1409,1,1,1,1,1,8,2,16,5,5,1,1,1,240,888888,888888,88888,20,42,0,0,2014,56
1413,1,1,1,1,1,5,2,9,2,5,3,1,1,750,888888,888888,88888,20,35,0,0,2014,60
1414,1,1,1,1,1,11,4,17,6,5,7,5,3,88888,7700,888888,88888,20,30,0,999,2014,74
1417,1,1,1,1,1,10,9,14,3,5,2,1,1,200,888888,888888,88888,21,40,0,0,2014,48
1419,1,2,1,0,1,10,3,14,5,5,1,1,1,406,888888,888888,88888,20,46,2,0,2014,47
1421,1,1,1,1,1,3,2,6,3,5,1,1,1,175,888888,888888,88888,22,45,5,5,2014,41
2001,1,1,1,1,1,10,2,5,5,5,1,1,1,350,888888,888888,88888,20,48,8,8,2014,34
2002,1,1,1,1,1,3,2,6,5,5,1,3,1,411,888888,888888,88888,99,999,999,999,2014,46
2004,1,2,0,0,3,6,2,16,2,5,5,9,4,88888,888888,835,88888,20,15,999,999,2014,38
2005,1,2,0,0,3,10,2,16,1,5,1,1,1,50,888888,888888,88888,10,10,999,999,2014,47
2006,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,68
2008,1,2,0,0,3,3,2,6,5,5,5,2,4,88888,888888,775,88888,16,16,0,0,2014,58
2010,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,66
2012,1,1,1,0,1,10,2,5,5,5,7,2,1,500,888888,888888,88888,99,999,999,999,2014,58
2013,1,2,0,0,3,4,2,16,9,6,8,9,9,88888,888888,888888,88888,4,6,999,0,2014,43
2014,1,2,0,0,3,10,3,14,2,5,5,9,4,88888,888888,1840,88888,13,12,0,0,2014,52
2015,2,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,72
2018,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,38
2023,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,78
2024,1,1,1,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,66
2026,1,2,1,1,1,5,2,6,4,5,1,1,1,598,888888,888888,88888,20,50,999,999,2014,48
2029,1,2,0,0,3,3,2,6,4,5,5,1,4,88888,888888,800,88888,20,25,0,999,2014,39
2030,1,2,0,0,4,3,1,6,2,3,8,5,5,88888,888888,888888,100,25,40,999,999,2014,57
2033,1,1,1,1,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,77
2035,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,70
2037,1,1,1,1,1,5,2,5,3,5,2,3,1,700,888888,888888,88888,20,45,5,0,2014,58
2038,1,1,1,1,1,7,1,10,1,1,8,1,9,88888,888888,888888,88888,18,50,0,0,2014,65
2040,1,1,1,1,1,5,2,16,2,5,2,1,1,450,888888,888888,88888,26,60,999,999,2014,45
2041,1,1,1,0,1,8,2,4,2,5,1,1,3,88888,8000,888888,88888,25,48,0,0,2014,55
2042,1,2,0,0,1,3,2,6,3,5,5,1,1,70,888888,888888,88888,18,20,0,0,2014,38
2043,1,2,0,0,1,1,1,1,1,3,8,9,9,88888,888888,888888,88888,25,48,999,999,2014,52
2044,1,1,1,1,1,10,2,4,5,5,1,3,1,350,888888,888888,88888,20,42,2,2,2014,46
2046,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,40
2049,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,43
2050,1,2,0,0,6,88,8,88,8,8,8,8,8,88888,888888,888888,88888,88,888,888,888,2014,50
